platform_id;certificate_id;issue_date;certificate_fee;course_name;online_date;certificate_name;certificate_type;course_id;course_info
105;25;2025-09-08;61,03;Digital Marketing Analytics;2024-08-04;Cybersecurity Awareness Certificate;completion;;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts."
461;111;2026-07-21;303,72;Financial Modeling Essentials;2025-06-11;HR Analytics Certificate;specialization;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge."
245;204;2028-05-12;39,86;Web Development Basics;2024-05-28;Cloud Fundamentals Certificate;completion;197,0;"Prepares students to understand front-end and back-end web concepts; requires basic computer literacy."
109;980;2024-12-09;671,08;HR Analytics;2021-09-10;Operations Excellence Certificate;advanced;;"Prepares students to analyze workforce and recruitment metrics; requires basic spreadsheet knowledge."
356;731;2031-11-29;238,95;Digital Marketing Analytics;2025-09-22;HR Analytics Certificate;specialization;;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts."
385;774;2031-11-20;535,68;Operations Management;2026-02-06;Agile Practitioner Certificate;professional;;"Prepares students to optimize workflows and resources; requires basic business knowledge."
27;98;2024-03-22;590,7;Industrial IoT Fundamentals;2021-11-14;Power BI Analyst Certificate;professional;;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity."
434;76;2024-03-11;120,0;Process Improvement Techniques;2024-01-18;Web Development Foundations Certificate;completion;;"Prepares students to improve processes using structured methods; requires analytical thinking."
29;584;2027-04-01;99,63;Customer Experience Analytics;2023-10-14;Cloud Fundamentals Certificate;completion;;"Prepares students to analyze customer satisfaction and service metrics; requires communication and spreadsheet skills."
71;143;2025-08-02;439,27;ERP Systems Introduction;2024-02-12;Project Management Certificate;professional;;"Prepares students to understand ERP workflows and organizational data; requires basic business process awareness."
328;408;2024-10-19;821,33;Data Visualization with Power BI;2024-08-20;Machine Learning Foundations Certificate;advanced;;"Prepares students to build business dashboards in Power BI; requires basic data handling skills."
89;467;2028-12-03;253,96;ERP Systems Introduction;2023-06-12;Digital Marketing Analyst;specialization;;"Prepares students to understand ERP workflows and organizational data; requires basic business process awareness."
453;130;2021-12-07;751,78;AI Tools for Productivity;2021-04-10;Industrial IoT Certificate;advanced;;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy."
191;571;2023-08-31;313,52;Digital Marketing Analytics;2022-08-11;HR Analytics Certificate;specialization;;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts."
432;905;2024-03-14;37,81;Agile and Scrum Fundamentals;2023-10-03;Cybersecurity Awareness Certificate;completion;;"Prepares students to work in agile delivery environments; requires no prior agile certification."
177;347;2032-03-03;387,9;Cybersecurity Awareness;2024-02-12;Digital Marketing Analyst;specialization;156,0;"Prepares students to identify cyber risks and good security practices; requires no previous technical background."
248;188;2028-06-21;1400,0;Web Development Basics;2025-11-11;Machine Learning Foundations Certificate;advanced;137,0;"Prepares students to understand front-end and back-end web concepts; requires basic computer literacy."
369;94;2026-12-07;523,18;Financial Modeling Essentials;2024-12-18;Agile Practitioner Certificate;professional;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge."
189;192;2027-10-02;65,52;Project Management Essentials;2023-01-05;Excel Professional Certificate;completion;64,0;"Prepares students to coordinate projects and teams; requires basic organizational and communication skills."
296;202;2030-09-22;301,1;Financial Modeling Essentials;2025-02-01;Business Analytics Certificate;specialization;190,0;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge."
376;568;2032-04-22;1285,86;Financial Modeling Essentials;2025-04-11;Machine Learning Foundations Certificate;advanced;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge."
480;669;2029-11-08;513,3;Information Security Foundations;2024-08-24;Financial Modeling Certificate;professional;;"Prepares students to understand core information security principles; requires no prior security certification."
381;681;2024-09-23;797,32;Data Visualization with Power BI;2022-05-07;Data Professional;professional;49,0;"Prepares students to build business dashboards in Power BI; requires basic data handling skills."
116;25;2028-07-10;86,02;Cybersecurity Awareness;2025-09-27;Cybersecurity Awareness Certificate;completion;66,0;"Prepares students to identify cyber risks and good security practices; requires no previous technical background."
452;107;2025-08-26;450,0;Python for Business Analytics;2024-05-15;Digital Marketing Analyst;specialization;2,0;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic."
182;984;2025-04-25;64,62;Financial Modeling Essentials;2021-06-02;Cloud Fundamentals Certificate;completion;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge."
120;395;2026-05-28;142,72;Industrial IoT Fundamentals;2022-04-28;Statistics for Business Certificate;specialization;101,0;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity."
167;233;2028-03-07;43,91;Operations Management;2025-10-21;Database Foundations Certificate;completion;;"Prepares students to optimize workflows and resources; requires basic business knowledge."
187;993;2031-02-18;72,8;Operations Management;2022-07-08;Database Foundations Certificate;completion;111,0;"Prepares students to optimize workflows and resources; requires basic business knowledge."
187;993;2030-01-12;103,89;Supply Chain Analytics;2022-07-08;Database Foundations Certificate;completion;168,0;"Prepares students to analyze logistics and operational performance; requires spreadsheet knowledge."
142;189;2024-01-29;457,6;Supply Chain Analytics;2021-05-02;Financial Modeling Certificate;professional;;"Prepares students to analyze logistics and operational performance; requires spreadsheet knowledge."
97;125;2033-08-15;66,87;Digital Marketing Analytics;2024-01-13;Cybersecurity Awareness Certificate;completion;8,0;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts."
83;512;2035-11-17;92,14;Customer Experience Analytics;2026-01-19;Excel Professional Certificate;completion;142,0;"Prepares students to analyze customer satisfaction and service metrics; requires communication and spreadsheet skills."
349;204;2033-12-19;51,72;Information Security Foundations;2025-06-27;Cloud Fundamentals Certificate;completion;;"Prepares students to understand core information security principles; requires no prior security certification."
37;86;2031-06-03;230,11;Project Management Essentials;2024-07-20;Business Intelligence Specialist;specialization;;"Prepares students to coordinate projects and teams; requires basic organizational and communication skills."
479;167;2028-09-21;189,39;Industrial IoT Fundamentals;2024-09-01;Digital Marketing Analyst;specialization;;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity."
318;851;2025-02-16;430,47;Operations Management;2024-07-27;HR Analytics Certificate;specialization;;"Prepares students to optimize workflows and resources; requires basic business knowledge."
379;318;2027-02-09;900,0;Agile and Scrum Fundamentals;2024-12-24;Power BI Analyst Certificate;professional;;"Prepares students to work in agile delivery environments; requires no prior agile certification."
155;173;2030-08-04;41,71;Risk Management Essentials;2022-08-21;Database Foundations Certificate;completion;113,0;"Prepares students to identify, assess, and report business risks; requires basic business literacy."
155;173;2029-09-27;68,98;SQL for Data Management;2022-08-21;Database Foundations Certificate;completion;153,0;"Prepares students to query and manage relational databases; requires no prior SQL experience."
281;181;2032-06-15;900,0;Operations Management;2025-07-03;Data Professional;professional;;"Prepares students to optimize workflows and resources; requires basic business knowledge."
127;570;2026-11-06;1034,77;Agile and Scrum Fundamentals;2024-02-15;Industrial IoT Certificate;advanced;105,0;"Prepares students to work in agile delivery environments; requires no prior agile certification."
239;444;2030-09-07;61,09;Excel for Professionals;2025-04-30;Cloud Fundamentals Certificate;completion;;"Prepares students to automate reporting and work with advanced formulas; requires basic Excel skills."
463;870;2031-06-17;523,87;Web Development Basics;2025-10-18;Industrial IoT Certificate;advanced;;"Prepares students to understand front-end and back-end web concepts; requires basic computer literacy."
433;941;2032-04-14;860,83;R for Data Analysis;2026-02-07;Data Professional;professional;86,0;"Prepares students to perform statistical analysis in R; requires basic statistics knowledge."
256;560;2026-01-03;1021,04;Supply Chain Analytics;2023-11-19;Operations Excellence Certificate;advanced;;"Prepares students to analyze logistics and operational performance; requires spreadsheet knowledge."
23;671;2022-07-13;170,19;HR Analytics;2022-05-27;HR Analytics Certificate;specialization;;"Prepares students to analyze workforce and recruitment metrics; requires basic spreadsheet knowledge."
158;390;2025-08-04;1364,93;ERP Systems Introduction;2023-12-04;Industrial IoT Certificate;advanced;;"Prepares students to understand ERP workflows and organizational data; requires basic business process awareness."
282;866;2024-01-15;162,77;Data Governance Fundamentals;2022-11-06;Business Intelligence Specialist;specialization;;"Prepares students to define standards for data quality and ownership; requires spreadsheet familiarity."
436;107;2023-07-08;263,83;Database Design Principles;2023-01-15;Digital Marketing Analyst;specialization;;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge."
456;1000;2022-08-25;820,39;Machine Learning Basics;2021-04-10;Operations Excellence Certificate;advanced;;"Prepares students to understand supervised learning workflows; requires statistics and Python basics."
90;920;2029-01-31;1400,0;Data Visualization with Power BI;2023-12-09;Operations Excellence Certificate;advanced;109,0;"Prepares students to build business dashboards in Power BI; requires basic data handling skills."
143;629;2034-09-06;524,79;Operations Management;2025-06-19;Financial Modeling Certificate;professional;141,0;"Prepares students to optimize workflows and resources; requires basic business knowledge."
218;240;2027-11-24;820,38;Data Governance Fundamentals;2025-10-21;Operations Excellence Certificate;advanced;;"Prepares students to define standards for data quality and ownership; requires spreadsheet familiarity."
281;635;2032-04-20;176,87;Risk Management Essentials;2025-07-03;Statistics for Business Certificate;specialization;;"Prepares students to identify, assess, and report business risks; requires basic business literacy."
398;926;2025-05-03;227,77;Financial Modeling Essentials;2025-04-05;Business Intelligence Specialist;specialization;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge."
156;214;2033-11-27;431,95;Leadership in Digital Teams;2025-12-29;Agile Practitioner Certificate;professional;;"Prepares students to manage remote and digital teams effectively; requires workplace experience or interest."
207;568;2034-04-11;688,54;HR Analytics;2025-12-08;Machine Learning Foundations Certificate;advanced;42,0;"Prepares students to analyze workforce and recruitment metrics; requires basic spreadsheet knowledge."
207;568;2034-03-28;901,98;ERP Systems Introduction;2025-12-08;Machine Learning Foundations Certificate;advanced;179,0;"Prepares students to understand ERP workflows and organizational data; requires basic business process awareness."
37;133;2031-07-25;30,93;Python for Business Analytics;2024-07-20;Database Foundations Certificate;completion;;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic."
13;675;2030-02-19;167,99;Operations Management;2023-02-17;Statistics for Business Certificate;specialization;;"Prepares students to optimize workflows and resources; requires basic business knowledge."
425;179;2034-07-14;69,74;Digital Marketing Analytics;2025-05-24;AI Productivity Certificate;completion;;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts."
204;790;2033-07-25;939,02;AI Tools for Productivity;2023-08-21;Industrial IoT Certificate;advanced;20,0;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy."
276;455;2029-01-23;262,64;Information Security Foundations;2022-06-13;Statistics for Business Certificate;specialization;145,0;"Prepares students to understand core information security principles; requires no prior security certification."
183;961;2032-06-17;566,85;Data Visualization with Power BI;2026-01-15;Data Professional;professional;;"Prepares students to build business dashboards in Power BI; requires basic data handling skills."
118;460;2032-04-02;779,93;Agile and Scrum Fundamentals;2025-11-02;Operations Excellence Certificate;advanced;165,0;"Prepares students to work in agile delivery environments; requires no prior agile certification."
200;802;2026-11-16;283,16;Customer Experience Analytics;2025-05-08;Business Analytics Certificate;specialization;;"Prepares students to analyze customer satisfaction and service metrics; requires communication and spreadsheet skills."
29;672;2032-07-11;84,4;Digital Marketing Analytics;2023-10-14;Excel Professional Certificate;completion;;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts."
29;275;2032-12-14;330,96;Information Security Foundations;2023-10-14;Statistics for Business Certificate;specialization;;"Prepares students to understand core information security principles; requires no prior security certification."
102;905;2033-12-17;56,97;Cloud Computing Basics;2025-06-02;Cybersecurity Awareness Certificate;completion;;"Prepares students to understand cloud service models and deployment basics; requires general IT literacy."
439;916;2031-02-16;99,87;Database Design Principles;2023-01-20;Web Development Foundations Certificate;completion;134,0;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge."
260;188;2024-11-05;950,88;Operations Management;2024-09-20;Machine Learning Foundations Certificate;advanced;;"Prepares students to optimize workflows and resources; requires basic business knowledge."
267;34;2033-04-25;885,05;Database Design Principles;2023-10-04;Agile Practitioner Certificate;professional;;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge."
104;31;2023-08-01;450,0;Digital Marketing Analytics;2021-04-07;HR Analytics Certificate;specialization;38,0;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts."
104;31;2023-08-01;172,01;R for Data Analysis;2021-04-07;HR Analytics Certificate;specialization;116,0;"Prepares students to perform statistical analysis in R; requires basic statistics knowledge."
179;132;2028-09-08;53,67;AI Tools for Productivity;2024-09-28;Excel Professional Certificate;completion;;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy."
256;156;2025-05-29;96,38;Database Design Principles;2023-11-19;Web Development Foundations Certificate;completion;;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge."
454;725;2025-07-20;40,48;HR Analytics;2023-03-24;Cybersecurity Awareness Certificate;completion;;"Prepares students to analyze workforce and recruitment metrics; requires basic spreadsheet knowledge."
167;375;2034-01-10;450,0;Python for Business Analytics;2025-10-21;Statistics for Business Certificate;specialization;;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic."
293;695;2027-11-06;252,68;Data Analysis Fundamentals;2024-09-14;Statistics for Business Certificate;specialization;61,0;"Prepares students for entry-level data analysis roles; requires basic spreadsheet knowledge."
225;966;2025-01-11;348,54;Data Analysis Fundamentals;2023-10-10;Business Intelligence Specialist;specialization;181,0;"Prepares students for entry-level data analysis roles; requires basic spreadsheet knowledge."
274;770;2023-08-03;864,07;Database Design Principles;2023-08-01;Industrial IoT Certificate;advanced;;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge."
48;553;2032-08-09;44,53;Data Visualization with Power BI;2024-09-28;Database Foundations Certificate;completion;169,0;"Prepares students to build business dashboards in Power BI; requires basic data handling skills."
402;262;2023-01-06;412,37;Leadership in Digital Teams;2022-03-04;Business Analytics Certificate;specialization;;"Prepares students to manage remote and digital teams effectively; requires workplace experience or interest."
63;545;2030-06-16;120,0;AI Tools for Productivity;2022-03-12;Cybersecurity Awareness Certificate;completion;80,0;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy."
314;128;2022-01-19;751,55;Statistics for Decision Making;2021-10-04;Machine Learning Foundations Certificate;advanced;;"Prepares students to use descriptive statistics for decision making; requires basic mathematics."
67;381;2024-06-12;513,65;Information Security Foundations;2021-11-28;Data Professional;professional;85,0;"Prepares students to understand core information security principles; requires no prior security certification."
128;201;2023-01-14;250,0;Project Management Essentials;2021-06-30;Data Professional;professional;;"Prepares students to coordinate projects and teams; requires basic organizational and communication skills."
237;63;2028-01-05;900,0;Leadership in Digital Teams;2025-01-10;Project Management Certificate;professional;;"Prepares students to manage remote and digital teams effectively; requires workplace experience or interest."
123;595;2023-04-26;392,14;Industrial IoT Fundamentals;2021-08-30;Statistics for Business Certificate;specialization;;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity."
16;245;2029-04-05;39,52;R for Data Analysis;2025-04-20;Cybersecurity Awareness Certificate;completion;;"Prepares students to perform statistical analysis in R; requires basic statistics knowledge."
474;324;2024-10-29;35,19;Database Design Principles;2024-06-12;Cloud Fundamentals Certificate;completion;;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge."
88;374;2029-12-19;290,66;HR Analytics;2025-07-07;Agile Practitioner Certificate;professional;;"Prepares students to analyze workforce and recruitment metrics; requires basic spreadsheet knowledge."
16;925;2034-08-03;90,87;Financial Modeling Essentials;2025-04-20;Cybersecurity Awareness Certificate;completion;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge."
145;741;2027-02-05;746,29;Project Management Essentials;2021-10-27;Data Professional;professional;94,0;"Prepares students to coordinate projects and teams; requires basic organizational and communication skills."
402;821;2025-12-09;416,22;Database Design Principles;2022-03-04;Data Professional;professional;;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge."
87;947;2024-11-28;339,42;Cloud Computing Basics;2023-04-18;Digital Marketing Analyst;specialization;;"Prepares students to understand cloud service models and deployment basics; requires general IT literacy."
485;751;2031-06-20;301,3;SQL for Data Management;2024-12-13;HR Analytics Certificate;specialization;33,0;"Prepares students to query and manage relational databases; requires no prior SQL experience."
491;584;2026-05-17;63,75;Supply Chain Analytics;2021-06-03;Cloud Fundamentals Certificate;completion;;"Prepares students to analyze logistics and operational performance; requires spreadsheet knowledge."
205;582;2029-05-17;400,24;Operations Management;2022-08-04;Business Analytics Certificate;specialization;81,0;"Prepares students to optimize workflows and resources; requires basic business knowledge."
112;794;2033-12-28;377,15;Agile and Scrum Fundamentals;2026-01-19;Agile Practitioner Certificate;professional;;"Prepares students to work in agile delivery environments; requires no prior agile certification."
73;344;2031-12-04;108,33;AI Tools for Productivity;2025-04-18;Cloud Fundamentals Certificate;completion;;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy."
403;401;2023-05-14;445,58;Financial Modeling Essentials;2023-05-13;Data Professional;professional;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge."
452;321;2025-02-03;900,0;Python for Business Analytics;2024-05-15;Data Professional;professional;2,0;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic."
452;897;2032-06-02;633,04;Python for Business Analytics;2024-05-15;Supply Chain Analytics Certificate;advanced;2,0;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic."
359;544;2025-08-26;64,11;Financial Modeling Essentials;2024-02-26;Cloud Fundamentals Certificate;completion;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge."
65;883;2027-02-25;586,91;Customer Experience Analytics;2023-03-28;Project Management Certificate;professional;;"Prepares students to analyze customer satisfaction and service metrics; requires communication and spreadsheet skills."
206;992;2025-10-15;73,84;Operations Management;2025-04-04;Excel Professional Certificate;completion;;"Prepares students to optimize workflows and resources; requires basic business knowledge."
164;799;2031-04-22;86,09;Risk Management Essentials;2022-10-12;AI Productivity Certificate;completion;;"Prepares students to identify, assess, and report business risks; requires basic business literacy."
155;202;2028-05-23;181,73;Risk Management Essentials;2022-08-21;Business Analytics Certificate;specialization;113,0;"Prepares students to identify, assess, and report business risks; requires basic business literacy."
155;202;2025-11-09;281,3;SQL for Data Management;2022-08-21;Business Analytics Certificate;specialization;153,0;"Prepares students to query and manage relational databases; requires no prior SQL experience."
485;801;2025-05-20;603,48;SQL for Data Management;2024-12-13;Data Professional;professional;33,0;"Prepares students to query and manage relational databases; requires no prior SQL experience."
383;533;2025-12-05;60,27;Leadership in Digital Teams;2021-06-04;Database Foundations Certificate;completion;;"Prepares students to manage remote and digital teams effectively; requires workplace experience or interest."
270;364;2032-01-23;83,51;Project Management Essentials;2024-02-20;Cloud Fundamentals Certificate;completion;;"Prepares students to coordinate projects and teams; requires basic organizational and communication skills."
80;496;2025-04-24;45,26;Digital Marketing Analytics;2024-02-28;Web Development Foundations Certificate;completion;;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts."
210;491;2028-09-16;254,23;Supply Chain Analytics;2024-02-03;HR Analytics Certificate;specialization;18,0;"Prepares students to analyze logistics and operational performance; requires spreadsheet knowledge."
472;253;2034-09-13;55,7;Data Visualization with Power BI;2024-09-17;Database Foundations Certificate;completion;19,0;"Prepares students to build business dashboards in Power BI; requires basic data handling skills."
397;256;2026-02-08;64,74;Project Management Essentials;2022-07-28;Web Development Foundations Certificate;completion;;"Prepares students to coordinate projects and teams; requires basic organizational and communication skills."
354;158;2027-02-07;900,0;Industrial IoT Fundamentals;2024-03-27;Power BI Analyst Certificate;professional;;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity."
459;862;2025-01-05;450,0;Industrial IoT Fundamentals;2023-04-22;Business Analytics Certificate;specialization;161,0;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity."
371;925;2028-04-17;113,1;Web Development Basics;2024-07-25;Cybersecurity Awareness Certificate;completion;107,0;"Prepares students to understand front-end and back-end web concepts; requires basic computer literacy."
351;22;2022-11-13;242,43;Business Intelligence Foundations;2022-01-05;Business Analytics Certificate;specialization;;"Prepares students to design dashboards and reports; requires basic numerical reasoning."
390;348;2031-01-29;1236,53;Cybersecurity Awareness;2024-03-13;Machine Learning Foundations Certificate;advanced;36,0;"Prepares students to identify cyber risks and good security practices; requires no previous technical background."
232;731;2024-01-29;296,43;Agile and Scrum Fundamentals;2023-07-02;HR Analytics Certificate;specialization;;"Prepares students to work in agile delivery environments; requires no prior agile certification."
227;17;2029-09-02;914,48;Agile and Scrum Fundamentals;2025-03-06;Supply Chain Analytics Certificate;advanced;;"Prepares students to work in agile delivery environments; requires no prior agile certification."
23;454;2025-09-03;559,64;Cloud Computing Basics;2022-05-27;Agile Practitioner Certificate;professional;;"Prepares students to understand cloud service models and deployment basics; requires general IT literacy."
431;123;2026-01-31;900,0;Machine Learning Basics;2025-09-18;Project Management Certificate;professional;189,0;"Prepares students to understand supervised learning workflows; requires statistics and Python basics."
223;320;2033-03-10;1400,0;ERP Systems Introduction;2025-10-25;Operations Excellence Certificate;advanced;;"Prepares students to understand ERP workflows and organizational data; requires basic business process awareness."
357;805;2025-09-12;94,09;Industrial IoT Fundamentals;2023-08-01;Cybersecurity Awareness Certificate;completion;;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity."
308;384;2024-07-29;68,3;Machine Learning Basics;2023-11-07;Cloud Fundamentals Certificate;completion;;"Prepares students to understand supervised learning workflows; requires statistics and Python basics."
360;308;2027-04-17;912,55;Process Improvement Techniques;2022-03-06;Machine Learning Foundations Certificate;advanced;;"Prepares students to improve processes using structured methods; requires analytical thinking."
253;466;2024-09-20;343,16;Machine Learning Basics;2021-09-04;Business Intelligence Specialist;specialization;;"Prepares students to understand supervised learning workflows; requires statistics and Python basics."
149;173;2024-10-22;60,4;Statistics for Decision Making;2022-03-16;Database Foundations Certificate;completion;;"Prepares students to use descriptive statistics for decision making; requires basic mathematics."
421;396;2024-08-14;100,69;Python for Business Analytics;2024-06-30;Web Development Foundations Certificate;completion;32,0;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic."
